Do it again!	Recommencez !
Is that right?	Est-ce le cas ?
Let me help.	Laissez-moi vous aider !
How tall is he?	Quelle taille fait-il ?
Hit the brakes.	Freine.
All are present.	Toutes sont présentes.
We walked.	Nous sommes allés à pied.
She cried.	Elle pleura.
Vote for me!	Choisissez-moi !
Don't be crude.	Ne soyez pas salace !
That's insane.	C'est fou.
Take it easy!	Du calme.
You are late.	Vous êtes en retard.
I wasn't done.	Je n'en avais pas terminé.
Take a bite.	Croque !
I was careful.	J'étais prudente.
Read this book.	Lis ce livre.
Don't be upset.	Ne soyez pas contrariées !
Now drink up.	Vide ton verre, maintenant !
Tom is leaving.	Tom part.
I love bread.	J'adore le pain.
I like beer.	J'aime la bière.
It was noisy.	C'était bruyant.
They let me go.	Elles me laissèrent partir.
Get Tom.	Va chercher Tom.
Look again.	Regarde encore.
I do worry.	Je me fais vraiment du souci.
I raise funds.	Je recueille des fonds.
Get out of bed.	Sortez du lit !
We need rest.	Nous avons besoin de repos.
Is this yours?	Est-ce le tien ?
We're dying.	Nous sommes en train de mourir.
Tom's friendly.	Tom est aimable.
It's rat meat.	C'est de la viande de rat.
I'm confused.	Je me mélange les pinceaux.
Get rid of Tom.	Renvoyez Tom.
Anybody in here?	Y a-t-il qui que ce soit là-dedans ?
You need sleep.	Tu as besoin de sommeil.
Take a seat.	Asseyez-vous !
I'm biased.	J'ai un parti pris.
We're stunned.	Nous sommes sidérés.
I'd accept.	J'accepterais.
She is lucky.	Elle est chanceuse.
Be cheerful.	Soyez heureux.
He's so stupid.	Il est tellement idiot !
This is my CD.	C'est mon CD.
I'm a plumber.	Je suis plombier.
I'm unlucky.	Je suis un poissard.
I hurt Tom.	J'ai blessé Tom.
Do you get it?	Tu piges ?
Tom is warm.	Tom est chaud.
I like winter.	J'aime l'hiver.
I had fun here.	Je me suis amusé, ici.
I didn't argue.	Je ne me suis pas disputé.
Did you get it?	Avez-vous compris ?
We can try it.	Nous pouvons essayer.
Tom hesitated.	Tom a hésité.
Tom was warm.	Tom était chaleureux.
Be prudent.	Sois prudente.
He can't count.	Il ne sait pas compter.
I want one.	J'en veux un !
Tom was dumped.	Tom a été largué.
I have a car.	J'ai une voiture.
You're psychic.	Tu es voyante.
I'm fair.	J'ai la peau claire.
Tom is fair.	Tom est juste.
Tom did well.	Tom a bien travaillé.
Be fair.	Soyez honnêtes.
You are big.	Vous êtes grande.
I felt scared.	Je me suis sentis apeuré.
They split up.	Ils se sont séparés.
Is it nearby?	Est-ce proche ?
Do it now.	Faites-le maintenant.
I'm healthy.	Je suis en bonne santé.
I'm a musician.	Je suis musicienne.
Tom is afraid.	Tom est apeuré.
Cheers!	Santé !
How much is it?	Combien est-ce que ça coûte ?
It felt good.	Ça faisait du bien.
I groaned.	J'ai gémi.
Look here.	Regardez ici.
Leave at once.	Déguerpissez.
Play it cool.	Tranquille.
I saw her home.	Je l'ai vue à la maison.
Trust no one.	Ne vous fiez à personne !
Stop gawking.	Arrête de bayer aux corneilles.
He is not in.	Il n'est pas à l'intérieur.
Try once again.	Essayez de nouveau.
Show yourself.	Montre-toi !
Lock the safe.	Ferme le coffre.
Be careful!	Soyez prudents !
Here's my room.	Cette chambre est à moi.
He drank beer.	Il but de la bière.
Stay alert.	Restez sur vos gardes.
I did my job.	J'ai fait mon travail.
Tom screamed.	Tom hurlait.
Can you pitch?	Savez-vous lancer ?
I know my job.	Je connais mon travail.
I hear you.	Je vous entends.
I saw a plane.	J'ai vu un avion.
Take my hand.	Prends ma main.
I'm screaming.	Je crie.
I buried it.	Je l'ai enterrée.
I'm fat, too.	Je suis gros aussi.
I remember her.	Je me souviens d'elle.
You've won.	Vous êtes les vainqueurs !
I won't buy it.	Je ne l'achèterai pas.
No kidding?	Est-ce sérieux ?
We're growing.	Nous nous agrandissons.
I was singing.	J'étais en train de chanter.
Do come again.	Revenez nous voir.
Are you lost?	Êtes-vous perdu ?
We're in sync.	Nous sommes synchronisés.
Did I break it?	L'ai-je cassée ?
Just be happy.	Soyez tout simplement heureuses.
Tom voted.	Tom a voté.
Give it a shot.	Tentez-le !
It's quiet.	C'est silencieux.
She avoids me.	Elle m'évite.
Tom is bad.	Tom est mauvais.
Ignore that.	Ignore ça.
Stop lying.	Arrêtez de mentir.
We're discreet.	Nous sommes discrets.
We'll manage.	Nous nous débrouillerons.
Wait for Tom.	Attendez Tom.
Come over.	Venez chez moi !
Be confident.	Soyez confiante !
Bring a camera.	Apportez un appareil photo !
I am a shy boy.	Je suis un garçon timide.
I'm positive.	J'en suis sûr.
No one left.	Personne n'est parti.
Tom can't swim.	Tom ne sait pas nager.
They agree.	Elles sont d'accord.
Count to thirty.	Compte jusque trente.
They're gone.	Elles sont parties.
That's crazy.	C'est dingue.
He let us go.	Il nous a laissés nous en aller.
Should we go?	Devrions-nous y aller ?
They're cold.	Ils sont froids.
I just moved.	Je viens juste de déménager.
Sleep tight.	Dormez bien.
It's magic.	C'est de la magie.
We're sorry.	Nous sommes désolés.
I told Tom why.	J'ai donné la raison à Tom.
I'm on duty.	Je suis en service.
It's a song.	C'est une chanson.
Let it go.	Abandonne !
I give my word.	Je donne ma parole.
Don't rush.	Ne te précipite pas.
I'm a purist.	Je suis un puriste.
She is awkward.	Elle est maladroite.
I'm worried.	Je me fais du souci.
I try.	J'essaye.
Tom's sad.	Tom est triste.
I was detained.	J'ai été incarcéré.
I like sugar.	J'aime le sucre.
We're too old.	Nous sommes trop vieux.
That's a fake.	Il s'agit d'un faux.
I'm reasonable.	Je suis raisonnable.
Beer is beer.	La bière, c'est la bière.
She's busy.	Elle est occupée.
The girls won.	Les filles gagnèrent.
Does it work?	Est-ce que ça marche ?
Enjoy the game.	Profite bien du match.
I'm with him.	Je suis avec lui.
You're nervous.	Vous êtes nerveuse.
Stay in bed.	Reste au lit !
Sweet dreams!	Faites de beaux rêves !
Get lost.	Décampe !
This is cheap.	C'est bon marché.
Go look for it.	Va le chercher !
I did that.	J'ai fait cela.
I can wait.	Je peux attendre.
I exercise.	Je m’entraîne.
I'd be careful.	Je serais prudente.
Don't move.	Ne bougez pas.
I'm not asleep.	Je ne suis pas endormi.
Check these out.	Regardez celles-ci !
Don't leave me.	Ne me quittez pas.
She dumped me.	Elle m'a plaqué.
Can I begin?	Puis-je commencer ?
Drive on.	Avance !
I hate this.	Je déteste ça.
Tom sat nearby.	Tom s'est assis à proximité.
Tom obeyed.	Tom obéit.
Leave it there.	Laissez-la là.
I'll decide.	J'en déciderai.
It's in French.	C'est en français.
We're stunned.	Nous sommes sidérées.
I have won.	Je suis gagnante.
He is heroic.	Il est héroïque.
Can I come?	Puis-je venir ?
Try to rest.	Essayez de vous reposer.
That's a tree.	C’est un arbre.
Are you up?	Es-tu debout ?
Be objective.	Sois objective.
Keep talking.	Continue à parler.
We'll succeed.	Nous réussirons.
Stop bragging.	Cesse de te vanter.
I wasn't hired.	On ne m'a pas engagé.
Bring Tom here.	Faites venir Tom.
Tom's stoned.	Tom est stone.
I went inside.	Je suis entré.
Have a drink.	Prenez une boisson !
I had a stroke.	J'ai fait un accident vasculaire cérébral.
Get lost!	Cassez-vous.
Is Tom ill?	Est-ce que Tom est malade ?
I'm not old.	Je ne suis pas vieille.
I am so sorry.	Je suis tellement désolé !
He's lazy.	Il est paresseux.
I wrote it.	Je l'ai écrit.
I'll tell you.	Je te dirai.
Make it larger.	Élargis-le.
I got hurt.	Je me suis blessé.
Am I approved?	M’approuve-t-on ?
He's a bigot.	C'est un illuminé.
I loved you.	Je t'ai aimée.
Send Tom up.	Fais monter Tom.
I have cash.	J'ai du liquide.
She kissed him.	Elle l'embrassa.
I sympathize.	Je compatis.
You've done it!	Vous l'avez fait !
I'm a dancer.	Je suis danseuse.
Keep searching.	Continuez à chercher.
Say that again.	Dis-le encore une fois.
I get the idea.	Je capte.
They let me go.	Elles m'ont laissé m'en aller.
Did I win?	Est-ce moi qui ai gagné ?
Who told Tom?	Qui l'a dit à Tom ?
This was easy.	Ce fut facile.
I kissed Tom.	J'ai embrassé Tom.
Tom seems nice.	Tom a l'air sympa.
I hate myself.	Je me déteste.
Be brief.	Soyez brefs.
That's no good.	Ce n'est pas bon.
Get lost!	Va au diable !
Are you tired?	Êtes-vous fatigué ?
I feel useless.	Je me sens inutile.
I went twice.	J'y suis allée deux fois.
Tom meant it.	Tom était sérieux.
Dig a deep hole.	Creuse un trou profond.
Pull it.	Tire dessus.
He loves me.	Il m'aime.
We need action.	Nous avons besoin d'action.
Are we friends?	Sommes-nous amis ?
How nice!	Comme c'est agréable !
You lost.	Tu as perdu.
Everybody paid.	Tout le monde a payé.
I washed it.	Je l'ai lavé.
Should I wait?	Devrais-je attendre ?
What's this?	C'est quoi ?
You're loaded.	T'es plein de fric.
Come on!	C'est pas vrai, dis !
Take a breath.	Inspire !
Be prepared.	Soyez préparée !
I felt scared.	Je me sentis apeurée.
Isn't it black?	N'est-ce pas noir ?
These are mine.	Ce sont les miennes.
Don't push.	Ne pousse pas.
Tom is wealthy.	Tom est riche.
Nobody got up.	Personne ne s'est levé.
You're good.	T'es bon.
Help me.	À l'aide !
Tom will talk.	Tom va parler.
It was locked.	C'était verrouillé.
Tom seems calm.	Tom semble calme.
She's hot.	Elle est très attirante.
I want to wait.	Je veux attendre.
Tom left town.	Tom a quitté la ville.
Are you busy?	Es-tu occupé ?
Tom is hot.	Tom est chaud.
I'll buy it.	Je l'achète.
I'm stubborn.	Je suis obstiné.
Are you sleepy?	Es-tu fatigué ?
Be cheerful.	Sois heureuse.
Could you help?	Pourriez-vous nous aider ?
I got it.	J'ai compris.
Do you bowl?	Jouez-vous au bowling ?
I did warn you.	Je vous avais prévenue.
Go home.	Rentrez à la maison.
Here we are!	Nous y voilà !
Can you read?	Peux-tu lire ?
You don't say.	Vraiment ?
Here is a book.	Voici un livre.
Call me, please.	Appelle-moi s'il te plaît.
I have no home.	Je suis dénué de toit.
Have we met?	Nous sommes-nous rencontrés ?
I was elected.	J'ai été élue.
Tom just came.	Tom vient juste de venir.
Stay out of it.	Ne t'en mêle pas !
Be nice.	Soyez gentilles !
I didn't argue.	Je ne me suis pas disputée.
Keep it.	Garde-le !
I eat bread.	Je mange du pain.
It was hard.	C'était dur.
He asked me to.	Il me l'a demandé.
I'm lying.	Je suis en train de mentir.
Tom will cook.	Tom va cuisiner.
We'll stand.	Nous nous tiendrons debout.
Here or to go?	Sur place ou à emporter ?
Give it to me!	Donne-le-moi !
Tom'll survive.	Tom survivra.
I want to go.	Je veux y aller.
I relaxed.	Je me suis détendue.
Are you with us?	Es-tu avec nous ?
Thanks a lot.	Mille mercis.
Do it yourself.	Faites-le vous-même.
We're ashamed.	Nous avons honte.
It's outdated.	C'est vieillot.
You're skinny.	Vous êtes maigrichonnes.
It's 8:30.	Il est huit heures trente.
I have money.	J'ai de l'argent.
I'm late.	Je suis en retard.
You disgust me.	Tu me dégoûtes.
Keep away.	Reste à distance.
I had to swim.	J'ai dû nager.
I quit smoking.	J’ai arrêté de fumer.
I'm just tired.	Je suis seulement fatigué.
He is running.	Il court.
Be honest.	Soyez honnêtes.
He wants one.	Il en veut un.
I love music.	Je tripe sur la musique.
Who's he?	Qui est-il ?
Tom said no.	Tom refusa.
We were stupid.	Nous étions stupides.
Call a doctor.	Appelle un médecin !
We surrendered.	Nous nous sommes rendues.
I keep a diary.	Je tiens un journal.
Let's start!	Commençons !
Get up.	Lève-toi.
Who will pay?	Qui paiera ?
What is love?	Qu'est-ce que l'amour ?
We're escaping.	Nous nous échappons.
That's alright.	Ça convient.
Everyone died.	Tout le monde est mort.
It was a hoax.	C'était un canular.
OK, you win.	D'accord, tu as gagné.
Keep dancing.	Continuez à danser.
He's depressed.	Il est déprimé.
She can't ski.	Elle ne sait pas skier.
The radio died.	La radio s'éteignit.
Look back.	Regarde derrière toi.
I'm working.	Je suis en train de travailler.
Are you kidding?	Vous plaisantez ?
Did you see it?	L'as-tu vue ?
We'll share.	Nous allons partager.
Who stayed?	Qui est resté ?
I'm so cold.	J'ai tellement froid.
This is theirs.	Ce sont les leurs.
They're quiet.	Elles sont calmes.
Is this love?	Serait-ce de l'amour ?
Start singing.	Commencez à chanter.
You'll be fine.	Ça se passera bien pour toi.
Do you go often?	Tu y vas souvent ?
I'm relaxed.	Je suis détendue.
That's a plan.	Voilà un plan.
Come on.	Viens !
Don't leave!	Ne t'en va pas !
Get back here.	Revenez ici !
Go away!	Décampez !
He went blind.	Il est devenu aveugle.
We'll share.	Nous partagerons.
Read the meter.	Lisez le compteur.
Don't struggle.	Ne te débats pas.
This is awful.	C'est affreux.
I'm a baker.	Je suis boulangère.
Did Tom try?	Tom a-t-il essayé ?
They're yours.	Ils sont à vous.
Buy me a drink.	Offrez-moi un coup !
No one spoke.	Personne ne parla.
I turned right.	J'ai tourné à droite.
I want one.	J'en veux une !
We lost.	Nous avons perdu.
Bottoms up!	Santé !
She got caught.	Elle s'est fait prendre.
I'm on holiday.	Je suis en vacances.
We want jobs.	Nous voulons des emplois.
Be prepared.	Tenez-vous prêtes !
I'll call.	J'appellerai.
I got thirsty.	Je me suis mise à avoir soif.
You've won!	Vous avez gagné !
Are you tall?	Es-tu grande ?
I was welcomed.	J'ai été accueillie.
I love my work.	J'adore mon travail.
Tom chose well.	Tom a bien choisi.
Tom's famous.	Tom est célèbre.
My foot hurts.	Mon pied me fait mal.
I'm cured.	Je suis guérie.
You're too big.	Vous êtes trop grand.
That was nice.	C'était sympa.
I'm amused.	Je suis amusé.
I just moved.	Je viens d'être muté.
Stir the soup.	Touillez la soupe !
I have a plan.	Je dispose d'un plan.
Come help me.	Viens m'aider.
Dig faster.	Creuse plus vite.
I want mine.	Je veux le mien.
Forget Tom.	Oublie Tom.
Tom is panting.	Tom halète.
I'm sorry.	Excusez-moi.
It's beyond me.	Ça me dépasse.
I will stay.	Je vais rester.
Have fun.	Amuse-toi bien !
Is she married?	Est-elle mariée ?
I can't say.	Je ne puis le dire.
I'll handle it.	Je m'en débrouillerai.
Look at that!	Regardez cela !
Grab that.	Attrape ça !
We're done.	Nous en avons terminé.
They're done.	Elles ont terminé.
I'm sick of it.	J'en ai ras-le-bol.
Lock the door!	Verrouillez la porte !
Do you promise?	Promettez-vous ?
Don't be mean.	Ne sois pas mesquine !
It was planned.	C'était prévu.
Get lost!	Déguerpissez.
Stay here.	Reste ici !
I'll pass.	Je passerai.
Make a choice.	Fais un choix !
Get out!	Vers l'extérieur !
We're the last.	Nous sommes les derniers.
Stop pushing.	Cesse de pousser.
I'm nervous.	Je suis nerveuse.
I want to help.	Je veux aider.
Let me sleep.	Laisse-moi dormir.
Are you deaf?	Es-tu sourd ?
Are you happy?	Êtes-vous contente ?
I want a book.	Je veux un livre.
Isn't it true?	N'est-ce pas vrai ?
It smells bad.	Ça pue.
I protested.	J’ai protesté.
Who died?	Qui est mort ?
They said no.	Elles ont dit non.
I feel lonely.	Je me sens seul.
I will learn.	J'apprendrai.
I dozed off.	J'ai piqué du nez.
We all know it.	Nous le savons toutes.
I was fired.	J'ai été viré.
They swam.	Elles nagèrent.
It's funny.	C'est drôle.
We like him.	Nous l'aimons bien.
We overslept.	Nous n'entendîmes pas le réveil.
Go fly a kite.	Dégage !
I'm not happy.	Je ne suis pas content.
I hate lawyers.	Je déteste les avocats.
Did I wake you?	Vous ai-je réveillé ?
I'm not tired.	Je ne suis pas fatigué.
Who are you?	Qui êtes-vous ?
Get out.	Sortez !
You've failed.	Vous avez échoué.
Watch yourself.	Prends des précautions.
I cringed.	Je suis rentré en moi-même.
He ignored me.	Il m'a ignoré.
You're hideous.	Tu es hideux.
Unlock it.	Déverrouillez-le.
Let's end this.	Terminons ceci.
You're good.	T'es bonne.
I'll hurry.	Je me dépêcherai.
Tom looks OK.	Tom a l'air normal.
Is it a trap?	Est-ce que c'est un piège ?
Are those yours?	Est-ce les tiennes ?
Do you gamble?	Est-ce que vous jouez ?
I went fishing.	Je suis allé pêcher.
Tom liked you.	Tom vous aimait bien.
Tom is smiling.	Tom sourit.
Ring the bell.	Sonnez la cloche.
Tom's glad.	Tom est heureux.
Go away.	Va te faire foutre !
Don't shoot.	Ne tire pas !
I forgive you.	Je te pardonne.
It was a mess.	C'était le bordel.
Tell Tom no.	Dites non à Tom.
You must leave.	Vous devez partir.
May I sit here?	Puis-je m'asseoir ici ?
They found it.	Ils le trouvèrent.
Are we broke?	Sommes-nous fauchés ?
That's awful.	C'est horrible.
Don't touch me.	Ne me touche pas !
Please wait.	Veuillez patienter un instant.
I don't drink.	Je m'abstiens de boire.
No one cares.	Personne ne s'en soucie.
Cover your eyes.	Couvre-toi les yeux.
She's pregnant.	Elle attend famille.
Tom rested.	Tom se reposait.
It was a fluke.	C'était un coup de chance.
Get in the van.	Grimpe dans la camionnette !
I called you.	Je vous ai appelées.
Come back in.	Reviens à l'intérieur.
I must protest.	Je dois soulever une protestation.
She can't swim.	Elle n'est pas capable de nager.
Hold fire.	Cessez le feu !
That's cruel.	C'est cruel.
He doesn't lie.	Il ne ment pas.
Just a minute.	Une minute.
Go home now.	Allez chez vous, maintenant.
Could we sit?	Pourrions-nous nous asseoir ?
That's foolish.	C'est bête.
I looked.	J’ai regardé.
She cried.	Elle pleurait.
Ask anybody.	Demande à qui que ce soit !
Hurry up.	Magnez-vous !
Look at Tom.	Regarde Tom.
I remember you.	Je me souviens de vous.
My eyes smart.	Mes yeux brûlent.
I got hot.	Je me suis mise à avoir chaud.
You're upset.	Tu es contrariée.
He was panting.	Il tirait la langue.
I freaked out.	J'ai eu la trouille.
Let's hurry.	Dépêchons-nous.
What is that?	Qu'est-ce que c'est ?
They're red.	Elles sont rouges.
You're upset.	Tu es contrarié.
He drank beer.	Il a bu de la bière.
I wimped out.	Je me suis dégonflé.
Are you serious?	T'es sérieuse ?
We all quit.	Nous arrêtons toutes.
I made tea.	J'ai préparé du thé.
Don't fall off!	Ne tombe pas !
Don't push me!	Ne me poussez pas !
I like him.	Je l'aime bien.
Read it to me.	Lisez-la-moi !
It matters.	Ça importe.
He flew a kite.	Il faisait voler un cerf-volant.
I'm hopeless.	Je suis désespéré.
We all knew it.	Nous le savions toutes.
Tom will start.	Tom commencera.
Don't stare.	Ne fixez pas.
Do what I say.	Faites ce que je dis.
Tom will obey.	Tom obéira.
I own a horse.	Je possède un cheval.
Do it at once.	Faites-le immédiatement.
Are you cold?	As-tu froid ?
You are early.	Tu es matinale.
Is it to go?	Cela doit-il partir ?
Do your best.	Faites au mieux.
Thank you, sir.	Merci, Monsieur.
We're stuck.	Nous sommes coincées.
We must attack.	Il nous faut attaquer.
We're all busy.	Nous sommes toutes occupées.
I'm all ears.	Je suis tout ouïe.
I always win.	Je gagne toujours.
Tom let us go.	Tom nous laissa partir.
They gave up.	Ils abandonnèrent.
Stand still!	Restez où vous êtes !
Is it a deer?	S'agit-il d'un cerf ?
Get upstairs.	Va en haut.
I'm behind him.	Je suis derrière lui.
We don't know.	Nous ne savons pas.
Here we are.	Nous y voilà !
This is sick.	C'est dingue.
This is silly.	Quelle bêtise !
Are you unlucky?	Es-tu malchanceuse ?
No one cares.	Tout le monde s'en fout.
Be prepared.	Tenez-vous prête !
I snore.	Je ronfle.
Take it easy!	On se calme !
Stay focused.	Restez concentrées.
Go find out.	Allez vérifier.
Who cares?	Qui s'en préoccupe ?
You hypocrite!	Sale hypocrite !
I can't win.	Je ne puis gagner.
I have nothing.	Je n'ai rien.
He runs.	Il court.
I got nauseous.	Je me suis mise à avoir la nausée.
Kiss me.	Embrassez-moi.
I was stunned.	J'étais sciée.
Are you certain?	En êtes-vous sûr ?
I outrank you.	J'ai la priorité sur toi.
We can proceed.	Nous pouvons procéder.
Listen to Tom.	Écoute Tom.
Tom saw her.	Tom l'a vu.
Run!	Courez !
Do I have to go?	Dois-je y aller ?
It's terrible.	C'est terrible.
Try it.	Essayez.
It was empty.	C'était vide.
It's Monday.	Nous sommes lundi.
Speak quietly.	Parle doucement.
I wanted more.	Je voulais plus.
I left my wife.	J'ai quitté ma femme.
I am Hungarian.	Je suis hongrois.
Don't cry, Tom.	Ne pleurez pas, Tom.
Come together.	Venez ensemble.
Stop crying.	Arrête de pleurer !
I'm not asleep.	Je ne suis pas endormie.
It's all wrong.	Tout est faux.
I deserve this.	Je le mérite.
Anything new?	Il y a du nouveau ?
Who lost face?	Qui a perdu la face ?
We're not home.	Nous ne sommes pas chez nous.
Get going.	Marche.
I see a woman.	Je vois une femme.
He respects me.	Il me respecte.
Start the car.	Démarrez la voiture !
Did Tom fight?	Tom s'est-il battu ?
I got upset.	J'ai été contrarié.
Lock the safe.	Fermez le coffre.
You're finicky.	Vous êtes tatillonne.
Don't tell me.	M'en parle pas.
I'm humming.	Je fredonne.
I have no food.	Je ne dispose d'aucune nourriture.
Be confident.	Sois confiant !
Keep digging.	Continue à creuser.
Can I stay?	Puis-je rester ?
She's a dog.	C'est une enfoirée.
It was night.	Il faisait nuit.
You're crafty.	Vous êtes rusé.
I said stop.	J'ai dit stop.
We're enemies.	Nous sommes ennemies.
It happens.	Ça peut arriver parfois.
I felt scared.	Je me sentis apeuré.
Wake up.	Réveille-toi !
Tom'll stay.	Tom va rester.
Watch closely.	Regardez attentivement.
Tom is trying.	Tom essaie.
I'll get them.	J'irai les chercher.
Tom, wake up.	Réveille-toi, Tom !
He helps her.	Il l'aide.
Drink it down.	Buvez-le !
Let's split it.	Partageons-la.
Clean that up.	Nettoyez ça.
Take command.	Prenez le contrôle.
They have come.	Ils sont venus.
I sell flowers.	Je vends des fleurs.
Are you excited?	Es-tu énervé ?
He walked away.	Il s'en alla.
Get out!	Disparais !
Who built it?	Qui l'a construit ?
I remember it.	Je me le rappelle.
Tom misled you.	Tom vous a induit en erreur.
Read the meter.	Lis le compteur.
Keep Tom safe.	Garde Tom en sécurité.
Don't kill me.	Ne me tue pas !
I don't read.	Je ne lis pas.
Do you know her?	La connaissez-vous ?
I won't cry.	Je ne pleurerai pas.
That's my goal.	C'est mon objectif.
He has a book.	Il a un livre.
I'm popular.	Je suis populaire.
That's evident.	C'est manifeste.
I'm engaged.	Je suis fiancée.
How curious!	Comme c'est curieux !
Tom loves that.	Tom adore ça.
Tom's uneasy.	Tom est mal à l'aise.
I had to stop.	Il me fallait cesser.
You know how.	Tu sais comment.
Do you teach?	Es-tu enseignante ?
Lock your door.	Verrouillez votre porte !
I'll start.	Je commencerai.
Tom tensed up.	Tom s'est crispé.
We're the same.	Nous sommes pareilles.
Take it easy!	Doucement !
Tom crashed.	Tom s'est écrasé.
Let's quit.	Renonçons.
It won't hurt.	Cela ne va pas faire mal.
Don't be mean.	Ne soyez pas mesquin !
Vote for me!	Votez pour moi !
Did I hurt you?	Vous ai-je blessé ?
I did see him.	Je l'ai vu.
Terrific!	Super !
Did you say yes?	Avez-vous dit oui ?
Think about it.	Penses-y.
They're mine.	Ce sont les miennes.
I'm thrilled.	Je suis ravie.
He was invited.	Il fut invité.
I like you.	Je t'aime bien.
He seems happy.	Il semble heureux.
Think about it.	Réfléchis.
We're all here.	Nous sommes toutes ici.
I met him once.	Je l'ai rencontré une fois.
Tom looks sad.	Tom a l'air triste.
I'm not insane.	Je ne suis pas fou.
Let's vote.	Votons.
I'm very sorry.	Je suis vraiment désolé.
Be on time.	Soyez à l'heure.
You're patient.	Vous êtes patient.
Make a list.	Faites une liste !
I can't do it.	Je n'y parviens pas.
I was burned.	J'ai été brûlé.
Come sit by us.	Viens t'asseoir à côté de nous.
You seem busy.	Tu sembles occupé.
Tom trusts you.	Tom te fait confiance.
Get away!	Criss ton camp d'icit !
I had to stop.	Il m'a fallu cesser.
Stay away.	Restes-y.
Those are mine.	Ce sont les miens.
We were close.	Nous étions proches.
Take it easy!	Relaxe, Max !
It takes time.	Ça prend du temps.
Tom has cancer.	Tom a le cancer.
Come alone.	Venez seules !
Tom lied to me.	Tom m'a menti.
I want a raise.	Je veux une augmentation.
Take mine.	Prends les miens.
Beat it.	Fous le camp !
Tom is thirsty.	Tom est assoiffé.
Sing along.	Chante avec moi !
That a boy!	T'es un bon garçon !
No comment.	Aucun commentaire.
Never mind Tom.	Oubliez Tom.
I was last.	J'étais dernière.
I felt cheated.	Je me sentis trahie.
Stay close.	Reste près.
Get everything.	Attrape tout.
This is huge.	C'est énorme.
I hiccup a lot.	J'ai souvent le hoquet.
Shut up!	Ferme-la !
It looked real.	Ça avait l'air réel.
Relax a moment.	Détends-toi un instant !
You're gross!	Tu es malpoli !
You're crafty.	Vous êtes rusée.
Try some.	Essaie.
Come early.	Venez tôt.
Now I feel bad.	Désormais, je me sens mal.
Should I start?	Devrais-je commencer ?
Why bother?	Pourquoi s'en soucier ?
Where's my tie?	Où est ma cravate ?
Get with it.	Fais avec.
Find Tom.	Trouvez Tom.
Terrific!	Magnifique !
Leave Tom.	Quittez Tom.
It's a fad.	C'est un phénomène de mode.
Is anyone hurt?	Quiconque est-il blessé ?
It's garbage.	Ce sont des détritus.
Can I have one?	Puis-je en avoir un ?
Tom'll cry.	Tom va pleurer.
I had no money.	J'étais démuni.
I ate quickly.	J'ai mangé rapidement.
Everybody down!	Tout le monde en bas !
Be realistic!	Sois réaliste !
Wonderful!	Formidable !
Bring Tom here.	Amène Tom ici.
You're good.	Vous êtes bonne.
I'm plastered.	Je suis bourré.
Don't do this.	Ne faites pas ça !
I'm deaf.	Je suis sourd.
Close the doors.	Ferme les portes.
I'm impatient.	Je suis impatient.
Hang on!	Attends un peu !
I can fix it.	Je peux le réparer.
Kick it.	Donne-lui un coup de pied.
I burned them.	Je les ai brûlés.
He's loaded.	Il est pété de thune.
Those are nice.	Ceux-là sont chouettes.
Don't be upset.	Ne soyez pas fâché !
Are you young?	Êtes-vous jeunes ?
Are you cold?	As-tu froid ?
I teach French.	J'enseigne la langue française.
Take mine.	Prends le mien.
I did my part.	J'ai fait ma part.
Wait a while.	Attendez un moment.
Go to sleep.	Endormez-vous.
We're dieting.	Nous sommes au régime.
Do you mean us?	Tu veux dire nous ?
You look tired.	Tu sembles fatigué.
Look up there.	Regarde là-haut.
Did she like it?	Elle a aimé ?
Hand it to me.	Donnez-la-moi.
Go away.	Pars d'ici.
We saw you.	Nous vous avons vus.
Use them all.	Utilise-les toutes !
You smashed it.	Tu l'as détruit.
Aren't you hot?	N'as-tu pas chaud ?
Tom's eating.	Tom est en train de manger.
Are we prepared?	Sommes-nous prêtes ?
Have a drink.	Prenez un verre !
Wait!	Attendez.
Come sit by me.	Viens t'asseoir à côté de moi.
I'm not Tom.	Je ne suis pas Tom.
That's weird.	C'est étrange.
Be watchful.	Fais attention.
Did you go out?	Êtes-vous sortie ?
I said not now.	J'ai dit : pas maintenant.
Come and see me.	Venez me voir.
Jump.	Saute.
You're in luck.	Vous êtes veinard.
I'm remodeling.	Je suis en train de réaménager.
Tom is trying.	Tom essaye.
I'm motivated.	Je suis motivé.
It's safe.	C'est sûr.
Did you drop it?	L'as-tu laissé tomber ?
I love camels.	J'adore les chameaux.
Eat something.	Mange quelque chose !
It's the best.	C'est le meilleur.
Think again.	Penses-y encore.
She helps him.	Elle l’aide.
He doesn't tan.	Il ne bronze pas.
I've got one.	J'en ai un.
Their eyes met.	Leurs regards se croisèrent.
That was easy.	C'était facile.
Anyone hurt?	Qui que ce soit est-il blessé ?
Will you go?	Irez-vous ?
I saved you.	Je vous ai sauvées.
Get in the van.	Monte dans la camionnette !
Stop grumbling.	Arrête de râler.
I will help.	J'aiderai.
Don't jump!	Ne saute pas !
Don't stop.	Ne vous arrêtez pas.
He broke them.	Il les a cassées.
It's genuine.	C'est la vérité.
Write to Tom.	Écrivez à Tom.
Seal the room.	Scelle la pièce.
How thrilling!	Comme c'est excitant !
They may go.	Ils sont libres de partir.
Are you certain?	En es-tu sûre ?
